WHO report date;Total Cases, Guinea;Total Deaths, Guinea;Total Cases, Liberia;Total Deaths, Liberia;Total Cases, Sierra Leone;Total Deaths, Sierra Leone;Total Cases;Total Deaths
2014/08/03;472;346;391;227;574;252;1437;825
2014/07/31;460;339;329;156;533;233;1322;728
2014/07/28;427;319;249;129;525;224;1201;672
2014/07/24;415;314;224;127;454;219;1093;660
2014/07/21;410;310;196;116;442;206;1048;632
2014/07/16;406;304;172;105;386;192;964;601
2014/07/14;409;309;142;88;337;142;888;539
2014/07/08;408;307;131;84;305;127;844;518
2014/07/07;412;305;115;75;252;101;779;481
2014/07/02;413;303;107;65;239;99;759;467
2014/06/24;390;270;51;34;158;34;599;338
2014/06/18;398;264;33;24;97;49;528;337
2014/06/11;376;241;15;10;117;19;508;270
2014/06/10;372;236;15;10;89;7;476;253
2014/06/05;344;215;13;9;81;7;438;231
2014/06/02;291;193;13;9;50;6;354;208
2014/05/28;281;186;12;9;16;5;309;200
2014/05/27;258;174;12;9;1;4;271;187
2014/05/23;258;174;12;9;0;0;270;183
2014/05/14;233;157;12;11;0;0;245;168
2014/05/05;231;155;13;11;0;0;244;166
2014/04/30;221;146;13;11;0;0;234;157
2014/04/23;208;136;34;11;0;0;242;147
2014/04/21;203;129;27;13;0;0;230;142
2014/04/17;197;122;27;13;0;0;224;135
2014/04/10;157;101;22;14;0;0;179;115
2014/04/07;151;95;18;7;0;0;169;102
2014/04/02;127;83;8;5;0;0;135;88
2014/04/01;122;80;8;2;0;0;130;82
2014/03/31;112;70;8;6;0;0;120;76
2014/03/27;103;66;8;6;6;5;117;77
2014/03/26;86;60;0;0;0;0;86;60
2014/03/25;86;59;0;0;0;0;86;59
;;;;;;;;
